20131113 174432.838 org.eclipse.paho.client.mqttv3.test.logging.LoggingUtilities     banner                         
20131113 174512.554 org.eclipse.paho.client.mqttv3.internal.Token                    waitUntilSent                  MultiSubscriber4: wait key=Disc
20131113 174512.554 org.eclipse.paho.client.mqttv3.internal.CommsSender              run                            MultiSubscriber4: network send key=Disc msg=DISCONNECT
20131113 174512.554 org.eclipse.paho.client.mqttv3.internal.wire.MqttOutputStream     write                          null: 500
20131113 174512.555 org.eclipse.paho.client.mqttv3.internal.ClientState              notifySent                     MultiSubscriber4: key=Disc
20131113 174512.555 org.eclipse.paho.client.mqttv3.internal.Token                    notifySent                     MultiSubscriber4: > key=Disc
20131113 174512.555 org.eclipse.paho.client.mqttv3.internal.Token                    markComplete                   MultiSubscriber4: >key=Disc response=null excep=null
20131113 174512.555 org.eclipse.paho.client.mqttv3.internal.ClientState              get                            MultiSubscriber4: wait for 59,715 ms for new work or for space in the inflight window
20131113 174512.555 org.eclipse.paho.client.mqttv3.internal.ClientComms              shutdownConnection             MultiSubscriber4: state=DISCONNECTING
20131113 174512.555 org.eclipse.paho.client.mqttv3.internal.CommsCallback            stop                           MultiSubscriber4: stopping
20131113 174512.555 org.eclipse.paho.client.mqttv3.internal.CommsCallback            stop                           MultiSubscriber4: notify workAvailable and wait for run
20131113 174512.555 org.eclipse.paho.client.mqttv3.internal.CommsCallback            run                            MultiSubscriber4: notify spaceAvailable
20131113 174512.555 org.eclipse.paho.client.mqttv3.internal.CommsCallback            stop                           MultiSubscriber4: stopped
20131113 174512.555 org.eclipse.paho.client.mqttv3.internal.CommsReceiver            stop                           MultiSubscriber4: stopping
20131113 174512.555 org.eclipse.paho.client.mqttv3.internal.CommsReceiver            run                            MultiSubscriber4: Stopping due to IOException
20131113 174512.555 org.eclipse.paho.client.mqttv3.internal.CommsReceiver            run                            MultiSubscriber4: <
20131113 174512.555 org.eclipse.paho.client.mqttv3.internal.CommsReceiver            stop                           MultiSubscriber4: stopped
20131113 174512.555 org.eclipse.paho.client.mqttv3.internal.CommsTokenStore          quiesce                        MultiSubscriber4: resp=Client is currently disconnecting (32102)
20131113 174512.555 org.eclipse.paho.client.mqttv3.internal.ClientComms              handleOldTokens                MultiSubscriber4: >
20131113 174512.555 org.eclipse.paho.client.mqttv3.internal.ClientState              resolveOldTokens               MultiSubscriber4: reason null
20131113 174512.555 org.eclipse.paho.client.mqttv3.internal.CommsTokenStore          getOutstandingTokens           MultiSubscriber4: >
20131113 174512.555 org.eclipse.paho.client.mqttv3.internal.CommsTokenStore          removeToken                    MultiSubscriber4: key=Disc
20131113 174512.556 org.eclipse.paho.client.mqttv3.internal.ClientState              disconnected                   MultiSubscriber4: disconnected
20131113 174512.556 org.eclipse.paho.client.mqttv3.internal.ClientState              clearState                     MultiSubscriber4: >
20131113 174512.556 org.eclipse.paho.client.mqttv3.internal.CommsTokenStore          clear                          MultiSubscriber4: > 0 tokens
20131113 174512.556 org.eclipse.paho.client.mqttv3.internal.CommsSender              stop                           MultiSubscriber4: stopping sender
20131113 174512.556 org.eclipse.paho.client.mqttv3.internal.ClientState              notifyQueueLock                MultiSubscriber4: notifying queueLock holders
20131113 174512.556 org.eclipse.paho.client.mqttv3.internal.ClientState              get                            MultiSubscriber4: no outstanding flows and not connected
20131113 174512.556 org.eclipse.paho.client.mqttv3.internal.CommsSender              run                            MultiSubscriber4: get message returned null, stopping}
20131113 174512.556 org.eclipse.paho.client.mqttv3.internal.CommsSender              run                            MultiSubscriber4: <
20131113 174512.556 org.eclipse.paho.client.mqttv3.internal.CommsSender              stop                           MultiSubscriber4: stopped
20131113 174512.557 org.eclipse.paho.client.mqttv3.internal.ClientComms              shutdownConnection             MultiSubscriber4: state=DISCONNECTED
20131113 174512.557 org.eclipse.paho.client.mqttv3.internal.CommsCallback            handleActionComplete           MultiSubscriber4: callback and notify for key=Disc
20131113 174512.557 org.eclipse.paho.client.mqttv3.internal.Token                    notifyComplete                 MultiSubscriber4: >key=Disc response=null excep=null
20131113 174512.557 org.eclipse.paho.client.mqttv3.internal.Token                    waitForResponse                MultiSubscriber4: key=Disc response=null
20131113 174512.557 org.eclipse.paho.client.mqttv3.test.SendReceiveAsyncTest         testMultipleClients            Close...
20131113 174512.557 org.eclipse.paho.client.mqttv3.MqttAsyncClient                   close                          MultiSubscriber4: <
20131113 174512.557 org.eclipse.paho.client.mqttv3.internal.CommsTokenStore          clear                          MultiSubscriber4: > 0 tokens
20131113 174512.557 org.eclipse.paho.client.mqttv3.MqttAsyncClient                   close                          MultiSubscriber4: >
20131113 174512.557 org.eclipse.paho.client.mqttv3.MqttAsyncClient                   disconnect                     MultiSubscriber5: > quiesceTimeout=30,000 userContext=null callback=null
20131113 174512.558 org.eclipse.paho.client.mqttv3.internal.ClientComms              disconnect                     MultiSubscriber5: state=DISCONNECTING
20131113 174512.558 org.eclipse.paho.client.mqttv3.MqttAsyncClient                   disconnect                     MultiSubscriber5: <
20131113 174512.558 org.eclipse.paho.client.mqttv3.test.SendReceiveAsyncTest         testMultipleClients            Disconnecting...MultiSubscriber5
20131113 174512.558 org.eclipse.paho.client.mqttv3.internal.ClientComms              disconnectBG:run               MultiSubscriber5: >
20131113 174512.558 org.eclipse.paho.client.mqttv3.internal.Token                    waitForCompletion              MultiSubscriber5: key=null wait max=-1 token=key=null ,topics= ,usercontext=null ,isComplete=false ,isNotified=false ,exception=null ,actioncallback=null
20131113 174512.558 org.eclipse.paho.client.mqttv3.internal.ClientState              quiesce                        MultiSubscriber5: timeout=30,000
20131113 174512.558 org.eclipse.paho.client.mqttv3.internal.Token                    waitForResponse                MultiSubscriber5: >key=null timeout=-1 sent=false completed=false hasException=false response=null token=key=null ,topics= ,usercontext=null ,isComplete=false ,isNotified=false ,exception=null ,actioncallback=null
20131113 174512.558 org.eclipse.paho.client.mqttv3.internal.CommsCallback            quiesce                        MultiSubscriber5: quiesce notify spaceAvailable
20131113 174512.558 org.eclipse.paho.client.mqttv3.internal.ClientState              notifyQueueLock                MultiSubscriber5: notifying queueLock holders
20131113 174512.558 org.eclipse.paho.client.mqttv3.internal.Token                    waitForResponse                MultiSubscriber5: key=null wait max=-1
20131113 174512.558 org.eclipse.paho.client.mqttv3.internal.ClientState              quiesce                        MultiSubscriber5: finished
20131113 174512.558 org.eclipse.paho.client.mqttv3.internal.ClientState              get                            MultiSubscriber5: wait for 56,208 ms for new work or for space in the inflight window
20131113 174512.558 org.eclipse.paho.client.mqttv3.internal.ClientComms              internalSend                   MultiSubscriber5: internalSend key=Disc message=DISCONNECT token=org.eclipse.paho.client.mqttv3.MqttToken@55ab9655
20131113 174512.558 org.eclipse.paho.client.mqttv3.internal.ClientState              send                           MultiSubscriber5: pending send key=0 message DISCONNECT
20131113 174512.558 org.eclipse.paho.client.mqttv3.internal.CommsTokenStore          saveToken                      MultiSubscriber5: key=Disc message=DISCONNECT
20131113 174512.558 org.eclipse.paho.client.mqttv3.internal.CommsTokenStore          saveToken                      MultiSubscriber5: key=Disc token=org.eclipse.paho.client.mqttv3.MqttToken@55ab9655
20131113 174512.558 org.eclipse.paho.client.mqttv3.internal.Token                    waitUntilSent                  MultiSubscriber5: wait key=Disc
20131113 174512.558 org.eclipse.paho.client.mqttv3.internal.CommsSender              run                            MultiSubscriber5: network send key=Disc msg=DISCONNECT
20131113 174512.559 org.eclipse.paho.client.mqttv3.internal.wire.MqttOutputStream     write                          null: 500
20131113 174512.559 org.eclipse.paho.client.mqttv3.internal.ClientState              notifySent                     MultiSubscriber5: key=Disc
20131113 174512.559 org.eclipse.paho.client.mqttv3.internal.Token                    notifySent                     MultiSubscriber5: > key=Disc
20131113 174512.559 org.eclipse.paho.client.mqttv3.internal.Token                    markComplete                   MultiSubscriber5: >key=Disc response=null excep=null
20131113 174512.559 org.eclipse.paho.client.mqttv3.internal.ClientState              get                            MultiSubscriber5: wait for 59,711 ms for new work or for space in the inflight window
20131113 174512.559 org.eclipse.paho.client.mqttv3.internal.ClientComms              shutdownConnection             MultiSubscriber5: state=DISCONNECTING
20131113 174512.559 org.eclipse.paho.client.mqttv3.internal.CommsCallback            stop                           MultiSubscriber5: stopping
20131113 174512.559 org.eclipse.paho.client.mqttv3.internal.CommsCallback            stop                           MultiSubscriber5: notify workAvailable and wait for run
20131113 174512.559 org.eclipse.paho.client.mqttv3.internal.CommsCallback            run                            MultiSubscriber5: notify spaceAvailable
20131113 174512.559 org.eclipse.paho.client.mqttv3.internal.CommsCallback            stop                           MultiSubscriber5: stopped
20131113 174512.559 org.eclipse.paho.client.mqttv3.internal.CommsReceiver            stop                           MultiSubscriber5: stopping
20131113 174512.559 org.eclipse.paho.client.mqttv3.internal.CommsReceiver            run                            MultiSubscriber5: Stopping due to IOException
20131113 174512.559 org.eclipse.paho.client.mqttv3.internal.CommsReceiver            run                            MultiSubscriber5: <
20131113 174512.559 org.eclipse.paho.client.mqttv3.internal.CommsReceiver            stop                           MultiSubscriber5: stopped
20131113 174512.559 org.eclipse.paho.client.mqttv3.internal.CommsTokenStore          quiesce                        MultiSubscriber5: resp=Client is currently disconnecting (32102)
20131113 174512.559 org.eclipse.paho.client.mqttv3.internal.ClientComms              handleOldTokens                MultiSubscriber5: >
20131113 174512.559 org.eclipse.paho.client.mqttv3.internal.ClientState              resolveOldTokens               MultiSubscriber5: reason null
20131113 174512.560 org.eclipse.paho.client.mqttv3.internal.CommsTokenStore          getOutstandingTokens           MultiSubscriber5: >
20131113 174512.560 org.eclipse.paho.client.mqttv3.internal.CommsTokenStore          removeToken                    MultiSubscriber5: key=Disc
20131113 174512.560 org.eclipse.paho.client.mqttv3.internal.ClientState              disconnected                   MultiSubscriber5: disconnected
20131113 174512.560 org.eclipse.paho.client.mqttv3.internal.ClientState              clearState                     MultiSubscriber5: >
20131113 174512.560 org.eclipse.paho.client.mqttv3.internal.CommsTokenStore          clear                          MultiSubscriber5: > 0 tokens
20131113 174512.560 org.eclipse.paho.client.mqttv3.internal.CommsSender              stop                           MultiSubscriber5: stopping sender
20131113 174512.560 org.eclipse.paho.client.mqttv3.internal.ClientState              notifyQueueLock                MultiSubscriber5: notifying queueLock holders
20131113 174512.560 org.eclipse.paho.client.mqttv3.internal.ClientState              get                            MultiSubscriber5: no outstanding flows and not connected
20131113 174512.560 org.eclipse.paho.client.mqttv3.internal.CommsSender              run                            MultiSubscriber5: get message returned null, stopping}
20131113 174512.560 org.eclipse.paho.client.mqttv3.internal.CommsSender              run                            MultiSubscriber5: <
20131113 174512.560 org.eclipse.paho.client.mqttv3.internal.CommsSender              stop                           MultiSubscriber5: stopped
20131113 174512.561 org.eclipse.paho.client.mqttv3.internal.ClientComms              shutdownConnection             MultiSubscriber5: state=DISCONNECTED
20131113 174512.561 org.eclipse.paho.client.mqttv3.internal.CommsCallback            handleActionComplete           MultiSubscriber5: callback and notify for key=Disc
20131113 174512.561 org.eclipse.paho.client.mqttv3.internal.Token                    notifyComplete                 MultiSubscriber5: >key=Disc response=null excep=null
20131113 174512.561 org.eclipse.paho.client.mqttv3.internal.Token                    waitForResponse                MultiSubscriber5: key=Disc response=null
20131113 174512.561 org.eclipse.paho.client.mqttv3.test.SendReceiveAsyncTest         testMultipleClients            Close...
20131113 174512.561 org.eclipse.paho.client.mqttv3.MqttAsyncClient                   close                          MultiSubscriber5: <
20131113 174512.561 org.eclipse.paho.client.mqttv3.internal.CommsTokenStore          clear                          MultiSubscriber5: > 0 tokens
20131113 174512.561 org.eclipse.paho.client.mqttv3.MqttAsyncClient                   close                          MultiSubscriber5: >
20131113 174512.561 org.eclipse.paho.client.mqttv3.MqttAsyncClient                   disconnect                     MultiSubscriber6: > quiesceTimeout=30,000 userContext=null callback=null
20131113 174512.562 org.eclipse.paho.client.mqttv3.internal.ClientComms              disconnect                     MultiSubscriber6: state=DISCONNECTING
20131113 174512.562 org.eclipse.paho.client.mqttv3.MqttAsyncClient                   disconnect                     MultiSubscriber6: <
20131113 174512.562 org.eclipse.paho.client.mqttv3.test.SendReceiveAsyncTest         testMultipleClients            Disconnecting...MultiSubscriber6
20131113 174512.562 org.eclipse.paho.client.mqttv3.internal.ClientComms              disconnectBG:run               MultiSubscriber6: >
20131113 174512.562 org.eclipse.paho.client.mqttv3.internal.Token                    waitForCompletion              MultiSubscriber6: key=null wait max=-1 token=key=null ,topics= ,usercontext=null ,isComplete=false ,isNotified=false ,exception=null ,actioncallback=null
20131113 174512.562 org.eclipse.paho.client.mqttv3.internal.ClientState              quiesce                        MultiSubscriber6: timeout=30,000
20131113 174512.562 org.eclipse.paho.client.mqttv3.internal.CommsCallback            quiesce                        MultiSubscriber6: quiesce notify spaceAvailable
20131113 174512.562 org.eclipse.paho.client.mqttv3.internal.Token                    waitForResponse                MultiSubscriber6: >key=null timeout=-1 sent=false completed=false hasException=false response=null token=key=null ,topics= ,usercontext=null ,isComplete=false ,isNotified=false ,exception=null ,actioncallback=null
20131113 174512.562 org.eclipse.paho.client.mqttv3.internal.ClientState              notifyQueueLock                MultiSubscriber6: notifying queueLock holders
20131113 174512.562 org.eclipse.paho.client.mqttv3.internal.Token                    waitForResponse                MultiSubscriber6: key=null wait max=-1
20131113 174512.562 org.eclipse.paho.client.mqttv3.internal.ClientState              quiesce                        MultiSubscriber6: finished
20131113 174512.562 org.eclipse.paho.client.mqttv3.internal.ClientState              get                            MultiSubscriber6: wait for 56,399 ms for new work or for space in the inflight window
20131113 174512.562 org.eclipse.paho.client.mqttv3.internal.ClientComms              internalSend                   MultiSubscriber6: internalSend key=Disc message=DISCONNECT token=org.eclipse.paho.client.mqttv3.MqttToken@4c9692d7
20131113 174512.562 org.eclipse.paho.client.mqttv3.internal.ClientState              send                           MultiSubscriber6: pending send key=0 message DISCONNECT
20131113 174512.562 org.eclipse.paho.client.mqttv3.internal.CommsTokenStore          saveToken                      MultiSubscriber6: key=Disc message=DISCONNECT
20131113 174512.562 org.eclipse.paho.client.mqttv3.internal.CommsTokenStore          saveToken                      MultiSubscriber6: key=Disc token=org.eclipse.paho.client.mqttv3.MqttToken@4c9692d7
20131113 174512.562 org.eclipse.paho.client.mqttv3.internal.Token                    waitUntilSent                  MultiSubscriber6: wait key=Disc
20131113 174512.562 org.eclipse.paho.client.mqttv3.internal.CommsSender              run                            MultiSubscriber6: network send key=Disc msg=DISCONNECT
20131113 174512.563 org.eclipse.paho.client.mqttv3.internal.wire.MqttOutputStream     write                          null: 500
20131113 174512.563 org.eclipse.paho.client.mqttv3.internal.ClientState              notifySent                     MultiSubscriber6: key=Disc
20131113 174512.563 org.eclipse.paho.client.mqttv3.internal.Token                    notifySent                     MultiSubscriber6: > key=Disc
20131113 174512.563 org.eclipse.paho.client.mqttv3.internal.Token                    markComplete                   MultiSubscriber6: >key=Disc response=null excep=null
20131113 174512.563 org.eclipse.paho.client.mqttv3.internal.ClientComms              shutdownConnection             MultiSubscriber6: state=DISCONNECTING
20131113 174512.563 org.eclipse.paho.client.mqttv3.internal.CommsCallback            stop                           MultiSubscriber6: stopping
20131113 174512.563 org.eclipse.paho.client.mqttv3.internal.CommsCallback            stop                           MultiSubscriber6: notify workAvailable and wait for run
20131113 174512.563 org.eclipse.paho.client.mqttv3.internal.ClientState              get                            MultiSubscriber6: wait for 59,707 ms for new work or for space in the inflight window
20131113 174512.563 org.eclipse.paho.client.mqttv3.internal.CommsCallback            run                            MultiSubscriber6: notify spaceAvailable
20131113 174512.563 org.eclipse.paho.client.mqttv3.internal.CommsCallback            stop                           MultiSubscriber6: stopped
20131113 174512.563 org.eclipse.paho.client.mqttv3.internal.CommsReceiver            stop                           MultiSubscriber6: stopping
20131113 174512.563 org.eclipse.paho.client.mqttv3.internal.CommsReceiver            run                            MultiSubscriber6: Stopping due to IOException
20131113 174512.563 org.eclipse.paho.client.mqttv3.internal.CommsReceiver            run                            MultiSubscriber6: <
20131113 174512.563 org.eclipse.paho.client.mqttv3.internal.CommsReceiver            stop                           MultiSubscriber6: stopped
20131113 174512.563 org.eclipse.paho.client.mqttv3.internal.CommsTokenStore          quiesce                        MultiSubscriber6: resp=Client is currently disconnecting (32102)
20131113 174512.563 org.eclipse.paho.client.mqttv3.internal.ClientComms              handleOldTokens                MultiSubscriber6: >
20131113 174512.563 org.eclipse.paho.client.mqttv3.internal.ClientState              resolveOldTokens               MultiSubscriber6: reason null
20131113 174512.563 org.eclipse.paho.client.mqttv3.internal.CommsTokenStore          getOutstandingTokens           MultiSubscriber6: >
20131113 174512.564 org.eclipse.paho.client.mqttv3.internal.CommsTokenStore          removeToken                    MultiSubscriber6: key=Disc
20131113 174512.564 org.eclipse.paho.client.mqttv3.internal.ClientState              disconnected                   MultiSubscriber6: disconnected
20131113 174512.564 org.eclipse.paho.client.mqttv3.internal.ClientState              clearState                     MultiSubscriber6: >
20131113 174512.564 org.eclipse.paho.client.mqttv3.internal.CommsTokenStore          clear                          MultiSubscriber6: > 0 tokens
20131113 174512.564 org.eclipse.paho.client.mqttv3.internal.CommsSender              stop                           MultiSubscriber6: stopping sender
20131113 174512.564 org.eclipse.paho.client.mqttv3.internal.ClientState              notifyQueueLock                MultiSubscriber6: notifying queueLock holders
20131113 174512.564 org.eclipse.paho.client.mqttv3.internal.ClientState              get                            MultiSubscriber6: no outstanding flows and not connected
20131113 174512.564 org.eclipse.paho.client.mqttv3.internal.CommsSender              run                            MultiSubscriber6: get message returned null, stopping}
20131113 174512.564 org.eclipse.paho.client.mqttv3.internal.CommsSender              run                            MultiSubscriber6: <
20131113 174512.564 org.eclipse.paho.client.mqttv3.internal.CommsSender              stop                           MultiSubscriber6: stopped
20131113 174512.565 org.eclipse.paho.client.mqttv3.internal.ClientComms              shutdownConnection             MultiSubscriber6: state=DISCONNECTED
20131113 174512.565 org.eclipse.paho.client.mqttv3.internal.CommsCallback            handleActionComplete           MultiSubscriber6: callback and notify for key=Disc
20131113 174512.565 org.eclipse.paho.client.mqttv3.internal.Token                    notifyComplete                 MultiSubscriber6: >key=Disc response=null excep=null
20131113 174512.565 org.eclipse.paho.client.mqttv3.internal.Token                    waitForResponse                MultiSubscriber6: key=Disc response=null
20131113 174512.565 org.eclipse.paho.client.mqttv3.test.SendReceiveAsyncTest         testMultipleClients            Close...
20131113 174512.565 org.eclipse.paho.client.mqttv3.MqttAsyncClient                   close                          MultiSubscriber6: <
20131113 174512.565 org.eclipse.paho.client.mqttv3.internal.CommsTokenStore          clear                          MultiSubscriber6: > 0 tokens
20131113 174512.565 org.eclipse.paho.client.mqttv3.MqttAsyncClient                   close                          MultiSubscriber6: >
20131113 174512.565 org.eclipse.paho.client.mqttv3.MqttAsyncClient                   disconnect                     MultiSubscriber7: > quiesceTimeout=30,000 userContext=null callback=null
20131113 174512.565 org.eclipse.paho.client.mqttv3.internal.ClientComms              disconnect                     MultiSubscriber7: state=DISCONNECTING
20131113 174512.566 org.eclipse.paho.client.mqttv3.MqttAsyncClient                   disconnect                     MultiSubscriber7: <
20131113 174512.566 org.eclipse.paho.client.mqttv3.test.SendReceiveAsyncTest         testMultipleClients            Disconnecting...MultiSubscriber7
20131113 174512.566 org.eclipse.paho.client.mqttv3.internal.Token                    waitForCompletion              MultiSubscriber7: key=null wait max=-1 token=key=null ,topics= ,usercontext=null ,isComplete=false ,isNotified=false ,exception=null ,actioncallback=null
20131113 174512.566 org.eclipse.paho.client.mqttv3.internal.Token                    waitForResponse                MultiSubscriber7: >key=null timeout=-1 sent=false completed=false hasException=false response=null token=key=null ,topics= ,usercontext=null ,isComplete=false ,isNotified=false ,exception=null ,actioncallback=null
20131113 174512.566 org.eclipse.paho.client.mqttv3.internal.Token                    waitForResponse                MultiSubscriber7: key=null wait max=-1
20131113 174512.566 org.eclipse.paho.client.mqttv3.internal.ClientComms              disconnectBG:run               MultiSubscriber7: >
20131113 174512.566 org.eclipse.paho.client.mqttv3.internal.ClientState              quiesce                        MultiSubscriber7: timeout=30,000
20131113 174512.566 org.eclipse.paho.client.mqttv3.internal.CommsCallback            quiesce                        MultiSubscriber7: quiesce notify spaceAvailable
20131113 174512.566 org.eclipse.paho.client.mqttv3.internal.ClientState              notifyQueueLock                MultiSubscriber7: notifying queueLock holders
20131113 174512.566 org.eclipse.paho.client.mqttv3.internal.ClientState              quiesce                        MultiSubscriber7: finished
20131113 174512.566 org.eclipse.paho.client.mqttv3.internal.ClientComms              internalSend                   MultiSubscriber7: internalSend key=Disc message=DISCONNECT token=org.eclipse.paho.client.mqttv3.MqttToken@4ab9ba02
20131113 174512.566 org.eclipse.paho.client.mqttv3.internal.ClientState              send                           MultiSubscriber7: pending send key=0 message DISCONNECT
20131113 174512.566 org.eclipse.paho.client.mqttv3.internal.ClientState              get                            MultiSubscriber7: wait for 56,581 ms for new work or for space in the inflight window
20131113 174512.567 org.eclipse.paho.client.mqttv3.internal.CommsTokenStore          saveToken                      MultiSubscriber7: key=Disc message=DISCONNECT
20131113 174512.567 org.eclipse.paho.client.mqttv3.internal.CommsTokenStore          saveToken                      MultiSubscriber7: key=Disc token=org.eclipse.paho.client.mqttv3.MqttToken@4ab9ba02
20131113 174512.567 org.eclipse.paho.client.mqttv3.internal.Token                    waitUntilSent                  MultiSubscriber7: wait key=Disc
20131113 174512.567 org.eclipse.paho.client.mqttv3.internal.CommsSender              run                            MultiSubscriber7: network send key=Disc msg=DISCONNECT
20131113 174512.567 org.eclipse.paho.client.mqttv3.internal.wire.MqttOutputStream     write                          null: 500
20131113 174512.567 org.eclipse.paho.client.mqttv3.internal.ClientState              notifySent                     MultiSubscriber7: key=Disc
20131113 174512.567 org.eclipse.paho.client.mqttv3.internal.Token                    notifySent                     MultiSubscriber7: > key=Disc
20131113 174512.567 org.eclipse.paho.client.mqttv3.internal.Token                    markComplete                   MultiSubscriber7: >key=Disc response=null excep=null
20131113 174512.567 org.eclipse.paho.client.mqttv3.internal.ClientState              get                            MultiSubscriber7: wait for 59,763 ms for new work or for space in the inflight window
20131113 174512.567 org.eclipse.paho.client.mqttv3.internal.ClientComms              shutdownConnection             MultiSubscriber7: state=DISCONNECTING
20131113 174512.567 org.eclipse.paho.client.mqttv3.internal.CommsCallback            stop                           MultiSubscriber7: stopping
20131113 174512.567 org.eclipse.paho.client.mqttv3.internal.CommsCallback            stop                           MultiSubscriber7: notify workAvailable and wait for run
20131113 174512.567 org.eclipse.paho.client.mqttv3.internal.CommsCallback            run                            MultiSubscriber7: notify spaceAvailable
20131113 174512.567 org.eclipse.paho.client.mqttv3.internal.CommsCallback            stop                           MultiSubscriber7: stopped
20131113 174512.567 org.eclipse.paho.client.mqttv3.internal.CommsReceiver            stop                           MultiSubscriber7: stopping
20131113 174512.567 org.eclipse.paho.client.mqttv3.internal.CommsReceiver            run                            MultiSubscriber7: Stopping due to IOException
20131113 174512.567 org.eclipse.paho.client.mqttv3.internal.CommsReceiver            run                            MultiSubscriber7: <
20131113 174512.568 org.eclipse.paho.client.mqttv3.internal.CommsReceiver            stop                           MultiSubscriber7: stopped
20131113 174512.568 org.eclipse.paho.client.mqttv3.internal.CommsTokenStore          quiesce                        MultiSubscriber7: resp=Client is currently disconnecting (32102)
20131113 174512.568 org.eclipse.paho.client.mqttv3.internal.ClientComms              handleOldTokens                MultiSubscriber7: >
20131113 174512.568 org.eclipse.paho.client.mqttv3.internal.ClientState              resolveOldTokens               MultiSubscriber7: reason null
20131113 174512.568 org.eclipse.paho.client.mqttv3.internal.CommsTokenStore          getOutstandingTokens           MultiSubscriber7: >
20131113 174512.568 org.eclipse.paho.client.mqttv3.internal.CommsTokenStore          removeToken                    MultiSubscriber7: key=Disc
20131113 174512.568 org.eclipse.paho.client.mqttv3.internal.ClientState              disconnected                   MultiSubscriber7: disconnected
20131113 174512.568 org.eclipse.paho.client.mqttv3.internal.ClientState              clearState                     MultiSubscriber7: >
20131113 174512.568 org.eclipse.paho.client.mqttv3.internal.CommsTokenStore          clear                          MultiSubscriber7: > 0 tokens
20131113 174512.568 org.eclipse.paho.client.mqttv3.internal.CommsSender              stop                           MultiSubscriber7: stopping sender
20131113 174512.568 org.eclipse.paho.client.mqttv3.internal.ClientState              notifyQueueLock                MultiSubscriber7: notifying queueLock holders
20131113 174512.568 org.eclipse.paho.client.mqttv3.internal.ClientState              get                            MultiSubscriber7: no outstanding flows and not connected
20131113 174512.568 org.eclipse.paho.client.mqttv3.internal.CommsSender              run                            MultiSubscriber7: get message returned null, stopping}
20131113 174512.568 org.eclipse.paho.client.mqttv3.internal.CommsSender              run                            MultiSubscriber7: <
20131113 174512.568 org.eclipse.paho.client.mqttv3.internal.CommsSender              stop                           MultiSubscriber7: stopped
20131113 174512.569 org.eclipse.paho.client.mqttv3.internal.ClientComms              shutdownConnection             MultiSubscriber7: state=DISCONNECTED
20131113 174512.569 org.eclipse.paho.client.mqttv3.internal.CommsCallback            handleActionComplete           MultiSubscriber7: callback and notify for key=Disc
20131113 174512.569 org.eclipse.paho.client.mqttv3.internal.Token                    notifyComplete                 MultiSubscriber7: >key=Disc response=null excep=null
20131113 174512.569 org.eclipse.paho.client.mqttv3.internal.Token                    waitForResponse                MultiSubscriber7: key=Disc response=null
20131113 174512.569 org.eclipse.paho.client.mqttv3.test.SendReceiveAsyncTest         testMultipleClients            Close...
20131113 174512.569 org.eclipse.paho.client.mqttv3.MqttAsyncClient                   close                          MultiSubscriber7: <
20131113 174512.569 org.eclipse.paho.client.mqttv3.internal.CommsTokenStore          clear                          MultiSubscriber7: > 0 tokens
20131113 174512.569 org.eclipse.paho.client.mqttv3.MqttAsyncClient                   close                          MultiSubscriber7: >
20131113 174512.570 org.eclipse.paho.client.mqttv3.MqttAsyncClient                   disconnect                     MultiSubscriber8: > quiesceTimeout=30,000 userContext=null callback=null
20131113 174512.570 org.eclipse.paho.client.mqttv3.internal.ClientComms              disconnect                     MultiSubscriber8: state=DISCONNECTING
20131113 174512.570 org.eclipse.paho.client.mqttv3.MqttAsyncClient                   disconnect                     MultiSubscriber8: <
20131113 174512.570 org.eclipse.paho.client.mqttv3.test.SendReceiveAsyncTest         testMultipleClients            Disconnecting...MultiSubscriber8
20131113 174512.570 org.eclipse.paho.client.mqttv3.internal.ClientComms              disconnectBG:run               MultiSubscriber8: >
20131113 174512.570 org.eclipse.paho.client.mqttv3.internal.Token                    waitForCompletion              MultiSubscriber8: key=null wait max=-1 token=key=null ,topics= ,usercontext=null ,isComplete=false ,isNotified=false ,exception=null ,actioncallback=null
20131113 174512.570 org.eclipse.paho.client.mqttv3.internal.Token                    waitForResponse                MultiSubscriber8: >key=null timeout=-1 sent=false completed=false hasException=false response=null token=key=null ,topics= ,usercontext=null ,isComplete=false ,isNotified=false ,exception=null ,actioncallback=null
20131113 174512.570 org.eclipse.paho.client.mqttv3.internal.Token                    waitForResponse                MultiSubscriber8: key=null wait max=-1
20131113 174512.570 org.eclipse.paho.client.mqttv3.internal.ClientState              quiesce                        MultiSubscriber8: timeout=30,000
20131113 174512.570 org.eclipse.paho.client.mqttv3.internal.CommsCallback            quiesce                        MultiSubscriber8: quiesce notify spaceAvailable
20131113 174512.570 org.eclipse.paho.client.mqttv3.internal.ClientState              notifyQueueLock                MultiSubscriber8: notifying queueLock holders
20131113 174512.570 org.eclipse.paho.client.mqttv3.internal.ClientState              quiesce                        MultiSubscriber8: finished
20131113 174512.570 org.eclipse.paho.client.mqttv3.internal.ClientState              get                            MultiSubscriber8: wait for 56,824 ms for new work or for space in the inflight window
20131113 174512.570 org.eclipse.paho.client.mqttv3.internal.ClientComms              internalSend                   MultiSubscriber8: internalSend key=Disc message=DISCONNECT token=org.eclipse.paho.client.mqttv3.MqttToken@10e07658
20131113 174512.571 org.eclipse.paho.client.mqttv3.internal.ClientState              send                           MultiSubscriber8: pending send key=0 message DISCONNECT
